target_entrez,disease_icd10
2654,208773
11442,208773
11992,204071
7743,208245
2419,205944
13399,205944
11717,205944
551,203538
20635,206055
16288,206055
21320,207205
21320,207827
21320,206355
21320,205691
21320,204937
21320,206268
21320,204056
21320,208652
21320,206830
21320,203745
21320,206627
21320,205014
21320,206654
21320,203526
21320,207646
21320,207990
21320,208400
7177,208400
17643,203432
647,204202
19389,207332
17032,207332
12037,207332
551,204248
20635,204373
3875,208640
221,208640
20473,208640
17465,208640
1755,208640
13983,208640
3102,208640
2928,208640
17628,206768
19862,207332
19821,207332
1810,207332
13399,204994
11717,204994
16918,204202
13334,208054
1786,207332
7527,208015
11493,208015
20741,208015
16091,206342
21766,206342
13974,208015
13399,207567
19650,207567
8092,207161
943,207161
1113,204807
17207,206055
20635,207564
2861,204535
799,204207
9932,207299
551,206910
14123,207598
6727,206358
22130,206358
4840,207603
17916,207603
8150,204523
551,207598
6796,204630
3614,204630
13903,206566
4342,203789
12126,207926
12160,208639
10908,208015
8092,205091
4406,204269
13032,208015
3536,207332
17010,204630
13903,208346
20635,208346
17897,204595
2113,204931
21320,206342
3638,208245
19821,208795
10378,207580
13847,207580
11559,207580
4467,207749
187,207749
7743,207580
13306,207580
8881,208066
1983,208066
187,204961
187,207198
187,205117
187,205652
187,205980
187,205553
187,206758
187,206334
187,206781
187,203957
187,207858
187,204632
187,208403
187,207790
943,208245
18407,208091
18407,204630
890,204994
1810,205084
7044,206407
13974,204178
15024,205427
17897,206289
14081,206289
16288,207161
187,206073
20741,206073
10908,203608
4406,207205
4406,207827
4406,206355
4406,205691
4406,204937
4406,206268
4406,204056
4406,208652
4406,206830
4406,203745
4406,206627
4406,205014
4406,206654
4406,203526
4406,207646
4406,207990
9182,207205
9182,207827
9182,206355
9182,205691
9182,204937
9182,204604
9182,206268
9182,204056
9182,208652
9182,206830
9182,203745
9182,206627
9182,205014
9182,206654
9182,203526
9182,207646
9182,207990
11813,208214
20741,208214
3377,208245
187,204807
17889,204055
21320,206073
8150,206073
11462,208231
20335,207213
551,206361
14291,204604
187,203855
647,203307
17819,208623
16288,204604
10378,204737
187,204595
21320,205739
7527,207580
14123,207580
16,208241
15694,207926
187,207926
551,207622
1179,204630
2019,206407
3057,204021
19711,205427
799,203334
551,207517
551,203925
9706,203334
11664,207622
551,205030
20635,208525
943,207205
943,207827
943,206355
943,205691
943,204937
943,204604
943,206268
943,204056
943,208652
943,206830
943,203745
943,206627
943,205014
943,206654
943,203526
943,207646
943,207990
187,204754
943,208525
16288,206289
18815,204124
6727,204124
19513,204124
16843,204124
647,207683
20635,207683
